hr,Density,Links,B,V,Size
400,0.852112676056338,968,16,71,87
401,0.852112676056338,968,16,71,87
402,0.852112676056338,968,16,71,87
403,0.852112676056338,968,16,71,87
404,0.852112676056338,968,16,71,87
405,0.852112676056338,968,16,71,87
406,0.852112676056338,968,16,71,87
407,0.852112676056338,968,16,71,87
408,0.852112676056338,968,16,71,87
409,0.852112676056338,968,16,71,87
410,0.852112676056338,968,16,71,87
411,0.8661971830985915,1107,18,71,89
412,0.8661971830985915,1107,18,71,89
413,0.8661971830985915,1107,18,71,89
414,0.8661971830985915,1107,18,71,89
415,0.8661971830985915,1107,18,71,89
416,0.8661971830985915,1107,18,71,89
417,0.8661971830985915,1107,18,71,89
418,0.8583264291632146,1036,17,71,88
419,0.8583264291632146,1036,17,71,88
420,0.852112676056338,968,16,71,87
421,0.852112676056338,968,16,71,87
422,0.852112676056338,968,16,71,87
423,0.852112676056338,968,16,71,87
424,0.852112676056338,968,16,71,87
425,0.852112676056338,968,16,71,87
426,0.852112676056338,968,16,71,87
427,0.852112676056338,968,16,71,87
428,0.852112676056338,968,16,71,87
429,0.852112676056338,968,16,71,87
430,0.852112676056338,968,16,71,87
431,0.852112676056338,968,16,71,87
432,0.8498263888888888,979,16,72,88
433,0.8498263888888888,979,16,72,88
434,0.8574979287489644,1035,17,71,88
435,0.8553921568627451,1047,17,72,89
436,0.8470588235294118,1080,17,75,92
437,0.8581081081081081,1143,18,74,92
438,0.8482905982905983,1191,18,78,96
439,0.8500999333777481,1276,19,79,98
440,0.8571428571428571,1476,21,82,103
441,0.8593073593073594,1588,22,84,106
442,0.8496503496503497,1701,22,91,113
443,0.8473320158102767,1715,22,92,114
444,0.8399814471243042,1811,22,98,120
445,0.8319964349376114,1867,22,102,124
446,0.8284734133790738,1932,22,106,128
447,0.8284371327849589,2115,23,111,134
448,0.8205953338696702,2040,22,113,135
449,0.8177933177933178,2105,22,117,139
450,0.8170261941448382,2121,22,118,140
451,0.8284313725490197,2366,24,119,143
452,0.8305084745762712,2352,24,118,142
453,0.8382072472981564,2637,26,121,147
454,0.8340983606557377,2544,25,122,147
455,0.8312324929971989,2374,24,119,143
456,0.832520325203252,2560,25,123,148
457,0.8401144310235219,2643,26,121,147
458,0.8375384615384616,2722,26,125,151
459,0.8305691056910569,2554,25,123,148
460,0.833,2499,25,120,145
461,0.8264585655890003,2224,23,117,140
462,0.8283752860411899,2172,23,114,137
463,0.8333333333333334,2300,24,115,139
464,0.8355654761904762,2246,24,112,136
465,0.8348082595870207,2264,24,113,137
466,0.8363363363363363,2228,24,111,135
467,0.8432727272727273,2319,25,110,135
468,0.8417857142857142,2357,25,112,137
469,0.8410619469026549,2376,25,113,138
470,0.8468406593406593,2466,26,112,138
471,0.8407079646017699,2375,25,113,138
472,0.8421621621621621,2337,25,111,136
473,0.8432727272727273,2319,25,110,135
474,0.8503881439661256,2410,26,109,135
475,0.8539094650205762,2490,27,108,135
476,0.8546209761163032,2469,27,107,134
477,0.8549965059399022,2447,27,106,133
478,0.8501451378809869,2343,26,106,132
479,0.8441509433962264,2237,25,106,131
480,0.8441509433962264,2237,25,106,131
481,0.8461538461538461,2200,25,104,129
482,0.8461538461538461,2200,25,104,129
483,0.8461538461538461,2200,25,104,129
484,0.8405448717948718,2098,24,104,128
485,0.8340301003344481,1995,23,104,127
486,0.8340301003344481,1995,23,104,127
487,0.8281385281385282,1913,22,105,127
488,0.8213151927437642,1811,21,105,126
489,0.8213151927437642,1811,21,105,126
490,0.8188696039163329,1840,21,107,128
491,0.8222768222768223,2008,22,111,133
492,0.8159588159588159,1902,21,111,132
493,0.8120300751879699,1944,21,114,135
494,0.8075060532687651,2001,21,118,139
495,0.8051587301587302,2029,21,120,141
496,0.8097507331378299,2209,22,124,146
497,0.8170434782608695,2349,23,125,148
498,0.8106657122405154,2265,22,127,149
499,0.8157190635451504,2439,23,130,153
500,0.8057851239669421,2340,22,132,154
501,0.7931873479318735,2282,21,137,158
502,0.7981947130883301,2476,22,141,163
503,0.8020989505247377,2675,23,145,168
504,0.7954545454545454,2555,22,146,168
505,0.7916917519566526,2630,22,151,173
506,0.7882697947214077,2688,22,155,177
507,0.809873417721519,3199,25,158,183
508,0.810062893081761,3220,25,159,184
509,0.8144522144522145,3494,26,165,191
510,0.8211770052260849,3614,27,163,190
511,0.8294557540506855,3993,29,166,195
512,0.8253724802804557,3767,28,163,191
513,0.8242254733218589,3831,28,166,194
514,0.8265625,3703,28,160,188
515,0.8235930735930735,3805,28,165,193
516,0.8298990748528174,3947,29,164,193
