type,n,hr,node_type
2,15,115,bacteria
3,62,115,spacers
1,47,116,viruses
2,15,116,bacteria
3,62,116,spacers
1,46,117,viruses
2,15,117,bacteria
3,61,117,spacers
1,48,118,viruses
2,15,118,bacteria
3,63,118,spacers
1,50,119,viruses
2,15,119,bacteria
3,65,119,spacers
1,49,120,viruses
2,15,120,bacteria
3,64,120,spacers
1,48,121,viruses
2,15,121,bacteria
3,63,121,spacers
1,48,122,viruses
2,15,122,bacteria
3,63,122,spacers
1,49,123,viruses
2,15,123,bacteria
3,64,123,spacers
1,50,124,viruses
2,15,124,bacteria
3,65,124,spacers
1,49,125,viruses
2,15,125,bacteria
3,64,125,spacers
1,49,126,viruses
2,15,126,bacteria
3,64,126,spacers
1,49,127,viruses
2,15,127,bacteria
3,64,127,spacers
1,49,128,viruses
2,15,128,bacteria
3,64,128,spacers
1,49,129,viruses
2,15,129,bacteria
3,64,129,spacers
1,50,130,viruses
2,15,130,bacteria
3,65,130,spacers
1,47,131,viruses
2,15,131,bacteria
3,62,131,spacers
1,47,132,viruses
2,15,132,bacteria
3,62,132,spacers
1,47,133,viruses
2,15,133,bacteria
3,62,133,spacers
1,47,134,viruses
2,15,134,bacteria
3,62,134,spacers
1,47,135,viruses
2,15,135,bacteria
3,62,135,spacers
1,48,136,viruses
2,15,136,bacteria
3,63,136,spacers
1,47,137,viruses
2,15,137,bacteria
3,62,137,spacers
1,49,138,viruses
2,15,138,bacteria
3,64,138,spacers
1,49,139,viruses
2,15,139,bacteria
3,64,139,spacers
1,48,140,viruses
2,14,140,bacteria
3,63,140,spacers
1,47,141,viruses
2,14,141,bacteria
3,62,141,spacers
1,47,142,viruses
2,15,142,bacteria
3,62,142,spacers
1,48,143,viruses
2,15,143,bacteria
3,63,143,spacers
1,47,144,viruses
2,15,144,bacteria
3,62,144,spacers
1,47,145,viruses
2,15,145,bacteria
3,62,145,spacers
1,48,146,viruses
2,15,146,bacteria
3,63,146,spacers
1,49,147,viruses
2,15,147,bacteria
3,64,147,spacers
1,50,148,viruses
2,15,148,bacteria
3,65,148,spacers
1,49,149,viruses
2,15,149,bacteria
3,64,149,spacers
1,49,150,viruses
2,15,150,bacteria
3,64,150,spacers
1,50,151,viruses
2,15,151,bacteria
3,65,151,spacers
1,51,152,viruses
2,15,152,bacteria
3,66,152,spacers
1,52,153,viruses
2,15,153,bacteria
3,67,153,spacers
1,52,154,viruses
2,15,154,bacteria
3,67,154,spacers
1,51,155,viruses
2,15,155,bacteria
3,66,155,spacers
1,52,156,viruses
2,15,156,bacteria
3,67,156,spacers
1,53,157,viruses
2,15,157,bacteria
3,68,157,spacers
1,53,158,viruses
2,15,158,bacteria
3,68,158,spacers
1,53,159,viruses
2,15,159,bacteria
3,68,159,spacers
1,53,160,viruses
2,16,160,bacteria
3,68,160,spacers
1,53,161,viruses
2,15,161,bacteria
3,68,161,spacers
1,53,162,viruses
2,15,162,bacteria
3,68,162,spacers
1,53,163,viruses
2,15,163,bacteria
3,68,163,spacers
1,52,164,viruses
2,15,164,bacteria
3,67,164,spacers
1,51,165,viruses
2,16,165,bacteria
3,66,165,spacers
1,50,166,viruses
2,16,166,bacteria
3,65,166,spacers
1,52,167,viruses
2,16,167,bacteria
3,67,167,spacers
1,52,168,viruses
2,16,168,bacteria
3,67,168,spacers
1,51,169,viruses
2,17,169,bacteria
3,67,169,spacers
1,51,170,viruses
2,17,170,bacteria
3,67,170,spacers
1,51,171,viruses
2,17,171,bacteria
3,67,171,spacers
1,51,172,viruses
2,17,172,bacteria
3,67,172,spacers
1,51,173,viruses
2,17,173,bacteria
3,67,173,spacers
1,52,174,viruses
2,17,174,bacteria
3,68,174,spacers
1,52,175,viruses
2,18,175,bacteria
3,68,175,spacers
1,53,176,viruses
2,16,176,bacteria
3,69,176,spacers
1,52,177,viruses
2,16,177,bacteria
3,68,177,spacers
1,52,178,viruses
2,16,178,bacteria
3,68,178,spacers
1,52,179,viruses
2,16,179,bacteria
3,68,179,spacers
1,53,180,viruses
2,16,180,bacteria
3,69,180,spacers
1,53,181,viruses
2,16,181,bacteria
3,69,181,spacers
1,52,182,viruses
2,16,182,bacteria
3,68,182,spacers
1,52,183,viruses
2,16,183,bacteria
3,68,183,spacers
1,52,184,viruses
2,16,184,bacteria
3,68,184,spacers
1,52,185,viruses
2,16,185,bacteria
3,68,185,spacers
1,53,186,viruses
2,15,186,bacteria
3,69,186,spacers
1,52,187,viruses
2,15,187,bacteria
3,68,187,spacers
1,52,188,viruses
2,15,188,bacteria
3,68,188,spacers
1,51,189,viruses
2,15,189,bacteria
3,67,189,spacers
1,51,190,viruses
2,15,190,bacteria
3,67,190,spacers
1,52,191,viruses
2,15,191,bacteria
3,68,191,spacers
1,52,192,viruses
2,15,192,bacteria
3,68,192,spacers
1,52,193,viruses
2,15,193,bacteria
3,68,193,spacers
1,54,194,viruses
2,16,194,bacteria
3,70,194,spacers
1,55,195,viruses
2,15,195,bacteria
3,71,195,spacers
1,55,196,viruses
2,15,196,bacteria
3,71,196,spacers
1,55,197,viruses
2,15,197,bacteria
3,71,197,spacers
1,56,198,viruses
2,15,198,bacteria
3,72,198,spacers
1,55,199,viruses
2,15,199,bacteria
3,71,199,spacers
1,55,200,viruses
2,15,200,bacteria
3,71,200,spacers
1,55,201,viruses
2,15,201,bacteria
3,71,201,spacers
1,55,202,viruses
2,15,202,bacteria
3,71,202,spacers
1,55,203,viruses
2,15,203,bacteria
3,71,203,spacers
1,55,204,viruses
2,15,204,bacteria
3,71,204,spacers
1,56,205,viruses
2,15,205,bacteria
3,72,205,spacers
1,55,206,viruses
2,16,206,bacteria
3,71,206,spacers
1,54,207,viruses
2,16,207,bacteria
3,70,207,spacers
1,54,208,viruses
2,16,208,bacteria
3,70,208,spacers
1,55,209,viruses
2,16,209,bacteria
3,71,209,spacers
1,56,210,viruses
2,16,210,bacteria
3,72,210,spacers
1,56,211,viruses
2,16,211,bacteria
3,72,211,spacers
1,56,212,viruses
2,16,212,bacteria
3,72,212,spacers
1,54,213,viruses
2,16,213,bacteria
3,70,213,spacers
1,56,214,viruses
2,16,214,bacteria
3,72,214,spacers
1,56,215,viruses
2,16,215,bacteria
3,72,215,spacers
1,57,216,viruses
2,16,216,bacteria
3,73,216,spacers
1,57,217,viruses
2,16,217,bacteria
3,73,217,spacers
1,56,218,viruses
2,16,218,bacteria
3,72,218,spacers
1,56,219,viruses
2,16,219,bacteria
3,72,219,spacers
1,55,220,viruses
2,16,220,bacteria
3,71,220,spacers
1,55,221,viruses
2,16,221,bacteria
3,71,221,spacers
1,55,222,viruses
2,16,222,bacteria
3,71,222,spacers
1,55,223,viruses
2,16,223,bacteria
3,71,223,spacers
1,55,224,viruses
2,16,224,bacteria
3,71,224,spacers
1,55,225,viruses
2,16,225,bacteria
3,71,225,spacers
1,56,226,viruses
2,16,226,bacteria
3,72,226,spacers
1,55,227,viruses
2,16,227,bacteria
3,71,227,spacers
1,57,228,viruses
2,16,228,bacteria
3,73,228,spacers
1,57,229,viruses
2,16,229,bacteria
3,73,229,spacers
1,57,230,viruses
2,16,230,bacteria
3,73,230,spacers
1,58,231,viruses
2,16,231,bacteria
3,74,231,spacers
1,57,232,viruses
2,16,232,bacteria
3,73,232,spacers
1,55,233,viruses
2,16,233,bacteria
3,71,233,spacers
1,55,234,viruses
2,16,234,bacteria
3,71,234,spacers
1,55,235,viruses
2,16,235,bacteria
3,71,235,spacers
1,55,236,viruses
2,16,236,bacteria
3,71,236,spacers
1,55,237,viruses
2,17,237,bacteria
3,71,237,spacers
1,56,238,viruses
2,17,238,bacteria
3,72,238,spacers
1,55,239,viruses
2,17,239,bacteria
3,71,239,spacers
1,55,240,viruses
2,17,240,bacteria
3,71,240,spacers
1,55,241,viruses
2,17,241,bacteria
3,71,241,spacers
1,55,242,viruses
2,17,242,bacteria
3,71,242,spacers
1,56,243,viruses
2,17,243,bacteria
3,72,243,spacers
1,56,244,viruses
2,17,244,bacteria
3,72,244,spacers
1,56,245,viruses
2,17,245,bacteria
3,72,245,spacers
1,55,246,viruses
2,17,246,bacteria
3,72,246,spacers
1,54,247,viruses
2,16,247,bacteria
3,71,247,spacers
1,54,248,viruses
2,16,248,bacteria
3,71,248,spacers
1,53,249,viruses
2,16,249,bacteria
3,70,249,spacers
1,54,250,viruses
2,16,250,bacteria
3,71,250,spacers
1,55,251,viruses
2,16,251,bacteria
3,72,251,spacers
1,54,252,viruses
2,16,252,bacteria
3,71,252,spacers
1,54,253,viruses
2,16,253,bacteria
3,71,253,spacers
1,54,254,viruses
2,16,254,bacteria
3,71,254,spacers
1,54,255,viruses
2,16,255,bacteria
3,71,255,spacers
1,54,256,viruses
2,16,256,bacteria
3,71,256,spacers
1,54,257,viruses
2,16,257,bacteria
3,71,257,spacers
1,54,258,viruses
2,16,258,bacteria
3,71,258,spacers
1,55,259,viruses
2,16,259,bacteria
3,72,259,spacers
1,55,260,viruses
2,16,260,bacteria
3,72,260,spacers
1,55,261,viruses
2,16,261,bacteria
3,72,261,spacers
1,56,262,viruses
2,16,262,bacteria
3,73,262,spacers
1,57,263,viruses
2,16,263,bacteria
3,74,263,spacers
1,57,264,viruses
2,17,264,bacteria
3,74,264,spacers
1,57,265,viruses
2,17,265,bacteria
3,74,265,spacers
1,58,266,viruses
2,17,266,bacteria
3,75,266,spacers
1,57,267,viruses
2,17,267,bacteria
3,75,267,spacers
1,59,268,viruses
2,17,268,bacteria
3,77,268,spacers
1,58,269,viruses
2,17,269,bacteria
3,77,269,spacers
1,59,270,viruses
2,17,270,bacteria
3,78,270,spacers
1,61,271,viruses
2,17,271,bacteria
3,80,271,spacers
1,61,272,viruses
2,17,272,bacteria
3,80,272,spacers
1,65,273,viruses
2,17,273,bacteria
3,84,273,spacers
1,64,274,viruses
2,18,274,bacteria
3,83,274,spacers
1,62,275,viruses
2,18,275,bacteria
3,81,275,spacers
1,61,276,viruses
2,18,276,bacteria
3,80,276,spacers
1,61,277,viruses
2,18,277,bacteria
3,80,277,spacers
1,59,278,viruses
2,18,278,bacteria
3,78,278,spacers
1,59,279,viruses
2,18,279,bacteria
3,78,279,spacers
1,59,280,viruses
2,18,280,bacteria
3,78,280,spacers
1,58,281,viruses
2,20,281,bacteria
3,77,281,spacers
1,59,282,viruses
2,20,282,bacteria
3,78,282,spacers
1,60,283,viruses
2,21,283,bacteria
3,79,283,spacers
1,62,284,viruses
2,21,284,bacteria
3,81,284,spacers
1,61,285,viruses
2,21,285,bacteria
3,80,285,spacers
1,64,286,viruses
2,21,286,bacteria
3,83,286,spacers
1,64,287,viruses
2,20,287,bacteria
3,83,287,spacers
1,64,288,viruses
2,20,288,bacteria
3,83,288,spacers
1,64,289,viruses
2,20,289,bacteria
3,83,289,spacers
1,64,290,viruses
2,20,290,bacteria
3,83,290,spacers
1,65,291,viruses
2,20,291,bacteria
3,84,291,spacers
1,64,292,viruses
2,20,292,bacteria
3,83,292,spacers
1,64,293,viruses
2,20,293,bacteria
3,83,293,spacers
1,62,294,viruses
2,20,294,bacteria
3,81,294,spacers
1,61,295,viruses
2,20,295,bacteria
3,80,295,spacers
1,61,296,viruses
2,20,296,bacteria
3,80,296,spacers
1,62,297,viruses
2,20,297,bacteria
3,81,297,spacers
1,62,298,viruses
2,20,298,bacteria
3,81,298,spacers
1,63,299,viruses
2,20,299,bacteria
3,82,299,spacers
1,62,300,viruses
2,19,300,bacteria
3,81,300,spacers
1,62,301,viruses
2,19,301,bacteria
3,81,301,spacers
1,62,302,viruses
2,19,302,bacteria
3,81,302,spacers
1,62,303,viruses
2,19,303,bacteria
3,81,303,spacers
1,61,304,viruses
2,19,304,bacteria
3,80,304,spacers
1,62,305,viruses
2,19,305,bacteria
3,81,305,spacers
1,62,306,viruses
2,19,306,bacteria
3,81,306,spacers
1,62,307,viruses
2,19,307,bacteria
3,81,307,spacers
1,62,308,viruses
2,19,308,bacteria
3,81,308,spacers
1,62,309,viruses
2,18,309,bacteria
3,81,309,spacers
1,62,310,viruses
2,18,310,bacteria
3,81,310,spacers
1,62,311,viruses
2,18,311,bacteria
3,81,311,spacers
1,61,312,viruses
2,18,312,bacteria
3,80,312,spacers
1,61,313,viruses
2,17,313,bacteria
3,80,313,spacers
1,61,314,viruses
2,17,314,bacteria
3,80,314,spacers
1,61,315,viruses
2,17,315,bacteria
3,80,315,spacers
1,61,316,viruses
2,17,316,bacteria
3,80,316,spacers
1,61,317,viruses
2,17,317,bacteria
3,80,317,spacers
1,61,318,viruses
2,17,318,bacteria
3,80,318,spacers
1,61,319,viruses
2,17,319,bacteria
3,80,319,spacers
1,61,320,viruses
2,17,320,bacteria
3,80,320,spacers
1,61,321,viruses
2,17,321,bacteria
3,80,321,spacers
1,61,322,viruses
2,17,322,bacteria
3,80,322,spacers
1,61,323,viruses
2,17,323,bacteria
3,80,323,spacers
1,61,324,viruses
2,17,324,bacteria
3,80,324,spacers
1,61,325,viruses
2,17,325,bacteria
3,80,325,spacers
1,61,326,viruses
2,17,326,bacteria
3,80,326,spacers
1,61,327,viruses
2,17,327,bacteria
3,80,327,spacers
1,61,328,viruses
2,17,328,bacteria
3,80,328,spacers
1,62,329,viruses
2,17,329,bacteria
3,81,329,spacers
1,61,330,viruses
2,17,330,bacteria
3,80,330,spacers
1,61,331,viruses
2,17,331,bacteria
3,80,331,spacers
1,61,332,viruses
2,17,332,bacteria
3,80,332,spacers
1,61,333,viruses
2,17,333,bacteria
3,80,333,spacers
1,61,334,viruses
2,17,334,bacteria
3,80,334,spacers
1,61,335,viruses
2,17,335,bacteria
3,80,335,spacers
1,61,336,viruses
2,17,336,bacteria
3,80,336,spacers
1,61,337,viruses
2,17,337,bacteria
3,80,337,spacers
1,61,338,viruses
2,17,338,bacteria
3,80,338,spacers
1,60,339,viruses
2,17,339,bacteria
3,79,339,spacers
1,60,340,viruses
2,17,340,bacteria
3,79,340,spacers
1,60,341,viruses
2,17,341,bacteria
3,79,341,spacers
1,60,342,viruses
2,17,342,bacteria
3,79,342,spacers
1,60,343,viruses
2,17,343,bacteria
3,79,343,spacers
1,60,344,viruses
2,17,344,bacteria
3,79,344,spacers
1,60,345,viruses
2,17,345,bacteria
3,79,345,spacers
1,60,346,viruses
2,17,346,bacteria
3,79,346,spacers
1,60,347,viruses
2,17,347,bacteria
3,79,347,spacers
1,59,348,viruses
2,17,348,bacteria
3,79,348,spacers
1,60,349,viruses
2,17,349,bacteria
3,80,349,spacers
1,60,350,viruses
2,17,350,bacteria
3,80,350,spacers
1,60,351,viruses
2,17,351,bacteria
3,80,351,spacers
1,60,352,viruses
2,18,352,bacteria
3,80,352,spacers
1,60,353,viruses
2,18,353,bacteria
3,80,353,spacers
1,60,354,viruses
2,18,354,bacteria
3,80,354,spacers
1,60,355,viruses
2,18,355,bacteria
3,80,355,spacers
1,61,356,viruses
2,18,356,bacteria
3,81,356,spacers
1,61,357,viruses
2,18,357,bacteria
3,81,357,spacers
1,61,358,viruses
2,18,358,bacteria
3,81,358,spacers
1,62,359,viruses
2,18,359,bacteria
3,82,359,spacers
1,62,360,viruses
2,18,360,bacteria
3,82,360,spacers
1,62,361,viruses
2,18,361,bacteria
3,82,361,spacers
1,61,362,viruses
2,18,362,bacteria
3,81,362,spacers
1,64,363,viruses
2,18,363,bacteria
3,84,363,spacers
1,64,364,viruses
2,18,364,bacteria
3,84,364,spacers
1,63,365,viruses
2,18,365,bacteria
3,83,365,spacers
1,63,366,viruses
2,18,366,bacteria
3,83,366,spacers
1,63,367,viruses
2,18,367,bacteria
3,83,367,spacers
1,64,368,viruses
2,18,368,bacteria
3,84,368,spacers
1,65,369,viruses
2,17,369,bacteria
3,85,369,spacers
1,66,370,viruses
2,17,370,bacteria
3,86,370,spacers
1,67,371,viruses
2,17,371,bacteria
3,87,371,spacers
1,68,372,viruses
2,17,372,bacteria
3,88,372,spacers
1,69,373,viruses
2,17,373,bacteria
3,89,373,spacers
1,70,374,viruses
2,17,374,bacteria
3,90,374,spacers
1,71,375,viruses
2,17,375,bacteria
3,91,375,spacers
1,71,376,viruses
2,17,376,bacteria
3,91,376,spacers
1,71,377,viruses
2,17,377,bacteria
3,91,377,spacers
1,71,378,viruses
2,16,378,bacteria
3,91,378,spacers
1,72,379,viruses
2,16,379,bacteria
3,92,379,spacers
1,72,380,viruses
2,16,380,bacteria
3,92,380,spacers
1,73,381,viruses
2,16,381,bacteria
3,93,381,spacers
1,76,382,viruses
2,16,382,bacteria
3,96,382,spacers
1,78,383,viruses
2,16,383,bacteria
3,98,383,spacers
1,75,384,viruses
2,16,384,bacteria
3,95,384,spacers
1,75,385,viruses
2,16,385,bacteria
3,95,385,spacers
1,74,386,viruses
2,16,386,bacteria
3,94,386,spacers
1,72,387,viruses
2,16,387,bacteria
3,92,387,spacers
1,70,388,viruses
2,16,388,bacteria
3,90,388,spacers
1,71,389,viruses
2,16,389,bacteria
3,91,389,spacers
1,71,390,viruses
2,16,390,bacteria
3,91,390,spacers
1,72,391,viruses
2,16,391,bacteria
3,92,391,spacers
1,72,392,viruses
2,16,392,bacteria
3,92,392,spacers
1,73,393,viruses
2,16,393,bacteria
3,93,393,spacers
1,73,394,viruses
2,16,394,bacteria
3,93,394,spacers
1,72,395,viruses
2,16,395,bacteria
3,92,395,spacers
1,72,396,viruses
2,16,396,bacteria
3,92,396,spacers
1,71,397,viruses
2,16,397,bacteria
3,91,397,spacers
1,71,398,viruses
2,16,398,bacteria
3,91,398,spacers
1,71,399,viruses
2,16,399,bacteria
3,91,399,spacers
1,71,400,viruses
2,16,400,bacteria
3,91,400,spacers
1,71,401,viruses
2,16,401,bacteria
3,91,401,spacers
1,71,402,viruses
2,16,402,bacteria
3,91,402,spacers
1,71,403,viruses
2,16,403,bacteria
3,91,403,spacers
1,71,404,viruses
2,16,404,bacteria
3,91,404,spacers
1,71,405,viruses
2,16,405,bacteria
3,91,405,spacers
1,71,406,viruses
2,16,406,bacteria
3,91,406,spacers
1,71,407,viruses
2,16,407,bacteria
3,91,407,spacers
1,71,408,viruses
2,16,408,bacteria
3,91,408,spacers
1,71,409,viruses
2,16,409,bacteria
3,91,409,spacers
1,71,410,viruses
2,16,410,bacteria
3,91,410,spacers
1,71,411,viruses
2,18,411,bacteria
3,91,411,spacers
1,71,412,viruses
2,18,412,bacteria
3,91,412,spacers
1,71,413,viruses
2,18,413,bacteria
3,91,413,spacers
1,71,414,viruses
2,18,414,bacteria
3,91,414,spacers
1,71,415,viruses
2,18,415,bacteria
3,91,415,spacers
1,71,416,viruses
2,18,416,bacteria
3,91,416,spacers
1,71,417,viruses
2,18,417,bacteria
3,91,417,spacers
1,71,418,viruses
2,17,418,bacteria
3,91,418,spacers
1,71,419,viruses
2,17,419,bacteria
3,91,419,spacers
1,71,420,viruses
2,16,420,bacteria
3,91,420,spacers
1,71,421,viruses
2,16,421,bacteria
3,91,421,spacers
1,71,422,viruses
2,16,422,bacteria
3,91,422,spacers
1,71,423,viruses
2,16,423,bacteria
3,91,423,spacers
1,71,424,viruses
2,16,424,bacteria
3,91,424,spacers
1,71,425,viruses
2,16,425,bacteria
3,91,425,spacers
1,71,426,viruses
2,16,426,bacteria
3,91,426,spacers
1,71,427,viruses
2,16,427,bacteria
3,91,427,spacers
1,71,428,viruses
2,16,428,bacteria
3,91,428,spacers
1,71,429,viruses
2,16,429,bacteria
3,91,429,spacers
1,71,430,viruses
2,16,430,bacteria
3,91,430,spacers
1,71,431,viruses
2,16,431,bacteria
3,91,431,spacers
1,72,432,viruses
2,16,432,bacteria
3,92,432,spacers
1,72,433,viruses
2,16,433,bacteria
3,92,433,spacers
1,71,434,viruses
2,17,434,bacteria
3,92,434,spacers
1,72,435,viruses
2,17,435,bacteria
3,93,435,spacers
1,75,436,viruses
2,17,436,bacteria
3,96,436,spacers
1,74,437,viruses
2,18,437,bacteria
3,95,437,spacers
1,78,438,viruses
2,18,438,bacteria
3,99,438,spacers
1,79,439,viruses
2,19,439,bacteria
3,100,439,spacers
1,82,440,viruses
2,21,440,bacteria
3,103,440,spacers
1,84,441,viruses
2,22,441,bacteria
3,105,441,spacers
1,91,442,viruses
2,22,442,bacteria
3,112,442,spacers
1,92,443,viruses
2,22,443,bacteria
3,113,443,spacers
1,98,444,viruses
2,22,444,bacteria
3,119,444,spacers
1,102,445,viruses
2,22,445,bacteria
3,123,445,spacers
1,106,446,viruses
2,22,446,bacteria
3,127,446,spacers
1,111,447,viruses
2,23,447,bacteria
3,132,447,spacers
1,113,448,viruses
2,22,448,bacteria
3,134,448,spacers
1,117,449,viruses
2,22,449,bacteria
3,138,449,spacers
1,118,450,viruses
2,22,450,bacteria
3,139,450,spacers
1,119,451,viruses
2,24,451,bacteria
