timesOfRecord time Db Dp Bdensity Pdensity effDb effDp PDI
1113 1112.75 133 2 316227 341.33 89.2091 4.27478 0.65263
1114 1113.75 133 2 316226 360.987 89.2091 4.20008 0.651358
1115 1114.75 133 2 316226 382.229 89.209 4.13602 0.650252
1116 1115.75 133 2 316226 405.136 89.209 4.08112 0.649293
1117 1116.75 133 2 316226 429.799 89.2089 4.03408 0.648462
1118 1117.75 133 2 316226 456.314 89.2089 3.99379 0.647745
1119 1118.75 133 2 316226 484.787 89.2088 3.95928 0.647127
1120 1119.75 133 2 316226 515.331 89.2087 3.92974 0.646594
1121 1120.75 133 2 316226 548.068 89.2087 3.90445 0.646137
1122 1121.75 133 2 316226 583.132 89.2086 3.8828 0.645745
1123 1122.75 133 2 316225 620.662 89.2085 3.86427 0.64541
1124 1123.75 133 2 316225 660.812 89.2085 3.84841 0.645123
1125 1124.75 133 2 316225 703.744 89.2084 3.83484 0.644879
1126 1125.75 133 2 316225 749.634 89.2083 3.82323 0.644672
1127 1126.75 133 2 316225 798.667 89.2082 3.81329 0.644496
1128 1127.75 133 2 316225 851.044 89.2081 3.80479 0.644347
1129 1128.75 133 2 316224 906.978 89.208 3.79753 0.644223
1130 1129.75 133 2 316224 966.697 89.2079 3.79132 0.644119
1131 1130.75 133 2 316224 1030.44 89.2077 3.78601 0.644033
1132 1131.75 133 2 316224 1098.48 89.2076 3.78148 0.643962
1133 1132.75 133 2 316223 1171.08 89.2075 3.77761 0.643905
1134 1133.75 133 2 316223 1248.54 89.2073 3.77431 0.64386
1135 1134.75 133 2 316223 1331.17 89.2072 3.7715 0.643826
1136 1135.75 133 2 316222 1419.31 89.207 3.76911 0.643801
1137 1136.75 133 2 316222 1513.32 89.2068 3.76708 0.643784
1138 1137.75 133 2 316222 1613.57 89.2066 3.76536 0.643774
1139 1138.75 133 2 316221 1720.48 89.2064 3.76391 0.643771
1140 1139.75 133 2 316221 1834.46 89.2062 3.76268 0.643773
1141 1140.75 133 2 316220 1955.97 89.206 3.76166 0.643782
1142 1141.75 133 2 316220 2085.51 89.2057 3.7608 0.643795
1143 1142.75 133 2 316219 2223.59 89.2054 3.7601 0.643814
1144 1143.75 133 2 316219 2370.75 89.2052 3.75952 0.643836
1145 1144.75 133 2 316218 2527.58 89.2048 3.75905 0.643864
1146 1145.75 133 2 316218 2694.7 89.2045 3.75868 0.643895
1147 1146.75 133 2 316217 2872.76 89.2042 3.7584 0.643931
1148 1147.75 133 2 316216 3062.47 89.2038 3.75819 0.64397
1149 1148.75 133 2 316215 3264.55 89.2034 3.75805 0.644014
1150 1149.75 133 2 316215 3479.79 89.203 3.75797 0.644063
1151 1150.75 133 2 316214 3709.03 89.2025 3.75795 0.644115
1152 1151.75 133 2 316213 3953.13 89.202 3.75797 0.644172
1153 1152.75 133 2 316212 4213.03 89.2015 3.75804 0.644233
1154 1153.75 133 2 316211 4489.71 89.2009 3.75814 0.644299
1155 1154.75 133 2 316210 4784.2 89.2003 3.75829 0.64437
1156 1155.75 133 2 316209 5097.61 89.1996 3.75848 0.644447
1157 1156.75 133 2 316207 5431.09 89.1989 3.7587 0.644528
1158 1157.75 133 2 316206 5785.86 89.1982 3.75895 0.644616
1159 1158.75 133 2 316205 6163.2 89.1974 3.75924 0.644709
1160 1159.75 133 2 316203 6564.48 89.1965 3.75956 0.644809
1161 1160.75 133 2 316201 6991.11 89.1956 3.75991 0.644915
1162 1161.75 133 2 316200 7444.59 89.1946 3.7603 0.645028
1163 1162.75 133 2 316198 7926.49 89.1935 3.76072 0.645149
1164 1163.75 133 2 316196 8438.45 89.1924 3.76118 0.645278
1165 1164.75 133 2 316194 8982.2 89.1911 3.76167 0.645415
1166 1165.75 133 2 316192 9559.54 89.1898 3.76221 0.645561
1167 1166.75 133 2 316190 10172.3 89.1883 3.76278 0.645716
1168 1167.75 133 2 316187 10822.6 89.1868 3.76338 0.645882
1169 1168.75 133 2 316185 11512.3 89.1851 3.76404 0.646057
1170 1169.75 133 2 316182 12243.5 89.1833 3.76473 0.646244
1171 1170.75 133 2 316179 13018.6 89.1814 3.76548 0.646443
1172 1171.75 133 1 316176 13839.5 89.1793 3.76627 0.646653
1173 1172.75 133 1 316173 14708.9 89.1771 3.76706 0.646877
1174 1173.75 133 1 316170 15629.1 89.1746 3.76797 0.647115
1175 1174.75 133 1 316166 16602.5 89.172 3.76893 0.647368
1176 1175.75 133 1 316162 17631.5 89.1692 3.76994 0.647636
1177 1176.75 133 1 316158 18718.9 89.1661 3.77103 0.647921
1178 1177.75 133 1 316154 19867 89.1628 3.77217 0.648223
1179 1178.75 133 1 316150 21078.6 89.1592 3.77339 0.648542
1180 1179.75 133 1 316145 22356.2 89.1553 3.77468 0.648881
1181 1180.75 133 1 316140 23702.4 89.1511 3.77604 0.64924
1182 1181.75 133 1 316135 25119.7 89.1466 3.77749 0.649619
1183 1182.75 133 1 316130 26610.7 89.1416 3.77902 0.650021
1184 1183.75 133 1 316125 28177.8 89.1363 3.78064 0.650445
1185 1184.75 133 1 316119 29823.3 89.1306 3.78235 0.650894
1186 1185.75 133 1 316113 31549.3 89.1243 3.78416 0.651368
1187 1186.75 133 1 316106 33357.9 89.1175 3.78607 0.651868
1188 1187.75 133 1 316100 35250.9 89.1102 3.78809 0.652396
1189 1188.75 133 1 316093 37229.8 89.1023 3.79021 0.652952
1190 1189.75 133 1 316086 39295.8 89.0937 3.79246 0.653538
1191 1190.75 133 1 316079 41450 89.0843 3.79482 0.654155
1192 1191.75 133 1 316071 43692.9 89.0743 3.79731 0.654803
1193 1192.75 133 1 316063 46024.5 89.0633 3.79992 0.655484
1194 1193.75 133 1 316055 48444.6 89.0515 3.80267 0.6562
1195 1194.75 133 1 316047 50952.3 89.0387 3.80556 0.65695
1196 1195.75 133 1 316039 53546.2 89.0249 3.80858 0.657736
1197 1196.75 133 1 316030 56224 89.01 3.81176 0.65856
1198 1197.75 133 1 316021 58983.1 88.9939 3.81508 0.65942
1199 1198.75 133 1 316012 61819.9 88.9766 3.81855 0.660319
1200 1199.75 133 1 316003 64730.1 88.9579 3.82218 0.661258
1201 1200.75 133 1 315994 67708.7 88.9377 3.82597 0.662235
1202 1201.75 133 1 315985 70749.7 88.9161 3.82992 0.663253
1203 1202.75 133 1 315976 73846.3 88.8928 3.83403 0.664311
1204 1203.75 133 1 315967 76990.7 88.8679 3.8383 0.665409
1205 1204.75 133 1 315958 80174.4 88.8412 3.84274 0.666547
1206 1205.75 133 1 315948 83387.9 88.8126 3.84734 0.667726
1207 1206.75 133 1 315940 86620.9 88.7821 3.8521 0.668944
1208 1207.75 133 1 315931 89862.1 88.7496 3.85703 0.670201
1209 1208.75 133 1 315922 93099.6 88.715 3.86211 0.671496
1210 1209.75 133 1 315914 96320.8 88.6783 3.86735 0.672829
1211 1210.75 132 1 315906 99512.2 88.6393 3.87274 0.674199
1212 1211.75 132 1 315899 102660 88.5981 3.87829 0.675603
1213 1212.75 132 1 315892 105750 88.5546 3.88397 0.67704
1214 1213.15 133 1 315890 106979 88.5351 3.95419 0.67763
1215 1214.15 133 1 315883 109963 88.49 3.89218 0.67911
1216 1215.15 133 1 315877 112854 88.4407 3.89818 0.68062
1217 1216.15 133 1 315871 115638 88.3894 3.9043 0.682155
1218 1217.15 133 1 315867 118299 88.3357 3.91053 0.683715
1219 1218.15 133 1 315863 120823 88.2798 3.91686 0.685296
1220 1219.15 133 1 315859 123198 88.2216 3.92327 0.686896
1221 1220.15 133 1 315856 125410 88.1613 3.92977 0.688512
1222 1221.15 133 1 315854 127446 88.0989 3.93634 0.69014
1223 1222.15 133 1 315853 129297 88.0346 3.94296 0.691779
1224 1223.15 133 1 315852 130951 87.9683 3.94962 0.693425
1225 1224.15 133 1 315852 132401 87.9003 3.95632 0.695075
1226 1225.15 133 1 315853 133639 87.8307 3.96304 0.696726
1227 1226.15 133 1 315854 134658 87.7596 3.96976 0.698375
1228 1227.15 133 1 315856 135456 87.6872 3.97649 0.700019
1229 1228.01 133 2 315858 135962 87.6241 3.98514 0.701427
1230 1229.01 133 2 315862 136339 87.5495 3.98894 0.703053
1231 1230.01 133 2 315865 136490 87.4743 3.99559 0.704667
1232 1231.01 133 2 315870 136416 87.3984 4.00218 0.706264
1233 1232.01 133 2 315875 136120 87.322 4.00871 0.707843
1234 1233.01 133 2 315880 135606 87.2452 4.01517 0.709402
1235 1234.01 133 2 315886 134881 87.1684 4.02155 0.710937
1236 1235.01 133 2 315892 133951 87.0915 4.02785 0.712448
1237 1236.01 133 2 315899 132823 87.0149 4.03404 0.713932
1238 1237.01 133 2 315906 131508 86.9386 4.04013 0.715387
1239 1238.01 133 2 315913 130014 86.8629 4.04611 0.716813
1240 1239.01 133 2 315921 128352 86.7878 4.05196 0.718207
1241 1240.01 133 2 315928 126534 86.7135 4.0577 0.719569
1242 1241.01 133 2 315936 124572 86.6401 4.0633 0.720898
1243 1242.01 133 2 315944 122476 86.5678 4.06878 0.722192
1244 1243.01 133 2 315952 120259 86.4966 4.07411 0.723452
1245 1244.01 131 2 315960 117933 86.4267 4.07931 0.724678
1246 1245.01 131 2 315969 115510 86.3579 4.08437 0.725867
1247 1246.01 131 2 315977 113003 86.2908 4.08928 0.72702
1248 1247.01 130 2 315985 110424 86.2251 4.09405 0.728139
1249 1248.01 130 2 315993 107783 86.1609 4.09867 0.729221
1250 1249.01 130 2 316001 105091 86.0983 4.10315 0.730267
1251 1250.01 130 2 316009 102361 86.0374 4.10749 0.731279
1252 1251.91 130 3 316024 97097.3 85.926 4.11535 0.733106
1253 1252.91 129 3 316031 94308.1 85.87 4.11928 0.734018
1254 1253.91 129 3 316039 91516.2 85.8155 4.12308 0.734897
1255 1254.91 129 2 316046 88729.5 85.7628 4.12673 0.735743
1256 1255.91 129 2 316053 85955.9 85.7117 4.13025 0.736556
1257 1256.91 129 2 316060 83201.9 85.6624 4.13364 0.737339
1258 1257.91 129 2 316067 80473.9 85.6147 4.13691 0.738091
1259 1258.9 129 3 316073 77795.7 85.569 4.13908 0.738809
1260 1259.9 129 3 316079 75135.8 85.5245 4.14307 0.739502
1261 1260.9 129 3 316085 72517.2 85.4817 4.14598 0.740168
1262 1261.9 129 2 316091 69943.9 85.4405 4.14878 0.740806
1263 1262.9 129 2 316097 67419.5 85.4008 4.15146 0.741418
1264 1263.9 129 2 316103 64947.1 85.3626 4.15404 0.742005
1265 1264.9 129 2 316108 62529.3 85.3258 4.15652 0.742566
1266 1265.9 129 2 316113 60168.2 85.2905 4.1589 0.743104
1267 1266.9 129 2 316118 57865.6 85.2566 4.16119 0.743619
1268 1267.9 129 2 316123 55623 85.2241 4.16339 0.744111
1269 1268.9 129 2 316128 53441.5 85.1928 4.1655 0.744582
1270 1269.9 129 2 316132 51321.7 85.1629 4.16753 0.745032
1271 1270.9 129 2 316136 49264.3 85.1341 4.16948 0.745462
1272 1271.9 129 2 316140 47269.4 85.1066 4.17136 0.745873
1273 1272.9 129 2 316144 45337 85.0803 4.17317 0.746266
1274 1273.9 129 2 316148 43466.8 85.055 4.17491 0.746641
1275 1274.9 129 2 316152 41658.4 85.0308 4.17658 0.746998
1276 1275.9 129 2 316155 39911.3 85.0077 4.1782 0.74734
1277 1276.9 129 2 316158 38224.7 84.9856 4.17977 0.747665
1278 1277.9 129 2 316162 36597.6 84.9644 4.18129 0.747976
1279 1278.9 129 2 316165 35029.2 84.9442 4.18276 0.748272
1280 1279.9 129 2 316168 33518.2 84.9248 4.18419 0.748554
1281 1280.9 129 2 316170 32063.6 84.9064 4.18558 0.748823
1282 1281.9 129 2 316173 30664 84.8887 4.18695 0.749078
1283 1282.9 129 2 316176 29318.1 84.8718 4.18829 0.749322
1284 1283.9 129 2 316178 28024.7 84.8557 4.1896 0.749553
1285 1284.9 129 2 316180 26782.3 84.8403 4.19091 0.749773
1286 1285.9 129 2 316183 25589.4 84.8257 4.1922 0.749982
1287 1286.9 129 2 316185 24444.6 84.8116 4.19349 0.75018
1288 1287.9 129 2 316187 23346.6 84.7983 4.19478 0.750369
1289 1288.9 129 2 316189 22293.7 84.7855 4.19609 0.750547
1290 1289.9 129 2 316190 21284.6 84.7733 4.19741 0.750715
1291 1290.9 129 2 316192 20317.9 84.7617 4.19876 0.750875
1292 1291.9 129 2 316194 19392 84.7506 4.20015 0.751025
1293 1292.9 129 2 316196 18505.6 84.74 4.20158 0.751166
1294 1293.9 129 2 316197 17657.3 84.73 4.20307 0.751299
1295 1294.9 129 2 316198 16845.6 84.7204 4.20462 0.751424
1296 1295.9 129 2 316200 16069.3 84.7112 4.20626 0.75154
1297 1296.9 129 2 316201 15327.1 84.7025 4.20799 0.751648
1298 1297.9 129 2 316202 14617.5 84.6941 4.20983 0.751748
1299 1298.9 129 2 316204 13939.5 84.6862 4.2118 0.75184
1300 1299.9 129 2 316205 13291.7 84.6786 4.21392 0.751924
1301 1300.9 129 2 316206 12672.9 84.6714 4.2162 0.751999
1302 1301.9 129 2 316207 12082.1 84.6645 4.21867 0.752067
1303 1302.9 129 2 316208 11518 84.658 4.22136 0.752126
1304 1303.9 129 2 316209 10979.7 84.6517 4.2243 0.752177
1305 1304.9 129 2 316210 10465.9 84.6458 4.22751 0.752219
1306 1305.9 129 2 316211 9975.78 84.6401 4.23103 0.752252
1307 1306.9 129 2 316211 9508.29 84.6347 4.2349 0.752276
1308 1307.9 129 2 316212 9062.48 84.6296 4.23917 0.75229
1309 1308.9 129 2 316213 8637.45 84.6246 4.24388 0.752293
1310 1309.9 129 2 316214 8232.31 84.62 4.24908 0.752285
1311 1310.9 129 2 316214 7846.22 84.6155 4.25484 0.752265
1312 1311.9 129 2 316215 7478.36 84.6112 4.26123 0.752233
1313 1312.9 129 2 316216 7127.95 84.6072 4.26831 0.752188
1314 1313.9 129 2 316216 6794.25 84.6033 4.27617 0.752127
1315 1314.9 129 2 316217 6476.53 84.5996 4.28491 0.752052
1316 1315.9 129 2 316217 6174.1 84.5961 4.29462 0.751959
1317 1316.9 129 2 316218 5886.31 84.5928 4.30543 0.751847
1318 1317.9 129 2 316218 5612.52 84.5896 4.31745 0.751715
1319 1318.9 129 2 316219 5352.12 84.5865 4.33083 0.751561
1320 1319.9 129 2 316219 5104.55 84.5836 4.34574 0.751383
1321 1320.9 129 2 316219 4869.25 84.5808 4.36234 0.751178
1322 1321.9 129 2 316220 4645.69 84.5782 4.38083 0.750945
1323 1322.9 129 2 316220 4433.37 84.5756 4.40143 0.750679
1324 1323.9 129 2 316220 4231.81 84.5732 4.42439 0.750379
1325 1324.9 129 2 316221 4040.56 84.5709 4.44997 0.750041
1326 1325.9 129 2 316221 3859.19 84.5686 4.47847 0.74966
1327 1326.9 129 2 316221 3687.29 84.5665 4.51023 0.749234
1328 1327.48 129 3 316221 3591.88 84.5654 4.44321 0.748956
1329 1328.48 129 3 316222 3434.17 84.5633 4.56826 0.748446
1330 1329.48 129 3 316222 3284.97 84.5614 4.6103 0.747878
1331 1330.48 129 3 316222 3143.94 84.5596 4.65711 0.747246
1332 1331.48 129 3 316222 3010.76 84.5578 4.70923 0.746544
1333 1332.48 129 3 316223 2885.14 84.5561 4.76723 0.745766
1334 1333.48 129 3 316223 2766.79 84.5545 4.83174 0.744906
1335 1334.48 129 3 316223 2655.44 84.5529 4.90342 0.743957
1336 1335.48 129 3 316223 2550.87 84.5514 4.983 0.742912
1337 1336.48 129 3 316223 2452.83 84.5499 5.07126 0.741762
1338 1337.48 129 3 316223 2361.12 84.5485 5.16899 0.7405
1339 1338.48 129 3 316223 2275.54 84.5472 5.27702 0.739119
1340 1339.48 129 3 316223 2195.92 84.5458 5.39616 0.73761
1341 1340.48 129 3 316224 2122.1 84.5445 5.52721 0.735965
1342 1341.48 129 3 316224 2053.94 84.5432 5.67085 0.734175
1343 1342.48 129 3 316224 1991.33 84.542 5.82765 0.732234
1344 1343.48 129 3 316224 1934.15 84.5408 5.99791 0.730133
1345 1344.48 129 3 316224 1882.34 84.5396 6.18164 0.727866
1346 1345.48 129 3 316224 1835.83 84.5384 6.37836 0.725425
1347 1346.48 129 3 316224 1794.6 84.5372 6.58699 0.722805
1348 1347.48 129 3 316224 1758.63 84.5361 6.80573 0.719999
1349 1348.48 129 3 316224 1727.95 84.5349 7.03188 0.717003
1350 1349.48 129 3 316224 1702.63 84.5338 7.26177 0.713811
1351 1350.48 129 3 316224 1682.75 84.5326 7.49078 0.71042
1352 1351.48 129 3 316224 1668.48 84.5314 7.71343 0.706824
1353 1352.48 129 3 316224 1660.01 84.5303 7.92372 0.70302
1354 1353.48 129 3 316223 1657.6 84.5291 8.11562 0.699003
1355 1354.48 129 3 316223 1661.61 84.5279 8.28368 0.694768
1356 1355.48 129 3 316223 1672.46 84.5266 8.42377 0.690306
1357 1356.48 129 3 316223 1690.71 84.5254 8.53377 0.685612
1358 1357.48 129 3 316223 1717.04 84.5241 8.61396 0.680675
1359 1358.48 129 3 316223 1752.33 84.5227 8.66719 0.675486
1360 1359.48 129 3 316222 1797.62 84.5213 8.69858 0.670032
1361 1360.48 129 3 316222 1854.23 84.5198 8.71485 0.664303
1362 1361.48 129 3 316221 1923.8 84.5182 8.72344 0.658288
1363 1362.48 129 3 316221 2008.35 84.5166 8.73141 0.651977
1364 1363.48 129 3 316220 2110.37 84.5148 8.74427 0.645368
1365 1364.48 129 3 316220 2232.94 84.5128 8.7649 0.638463
1366 1365.48 129 3 316219 2379.88 84.5107 8.79245 0.631273
1367 1366.48 129 3 316218 2555.92 84.5085 8.82148 0.623819
1368 1367.48 129 3 316217 2766.92 84.5059 8.84149 0.616138
1369 1368.48 129 3 316215 3020.11 84.5031 8.83729 0.608277
1370 1369.48 129 3 316213 3324.49 84.5 8.79071 0.600298
1371 1370.48 129 3 316211 3691.19 84.4965 8.68383 0.592275
1372 1371.48 129 3 316209 4134.01 84.4924 8.50343 0.58429
1373 1372.48 129 3 316206 4670.08 84.4878 8.2451 0.576432
1374 1373.48 129 3 316202 5320.61 84.4825 7.91543 0.568788
1375 1374.48 129 3 316197 6111.93 84.4762 7.53084 0.561441
1376 1375.48 129 3 316191 7076.66 84.4689 7.11367 0.554466
1377 1376.48 129 3 316184 8255.21 84.4603 6.68715 0.547926
1378 1377.04 129 4 316181 9024.29 84.4536 6.88393 0.544482
1379 1378.04 129 4 316170 10640.1 84.4437 6.04958 0.538711
1380 1379.04 129 4 316158 12622.4 84.4299 5.67736 0.533471
1381 1380.04 129 4 316143 15057.2 84.4135 5.34215 0.528773
1382 1381.04 129 4 316125 18050.5 84.3938 5.04586 0.524621
1383 1382.04 129 4 316102 21732.8 84.3698 4.7876 0.52101
1384 1383.04 129 4 316075 26263.7 84.3406 4.56483 0.51793
1385 1384.04 129 4 316041 31838.5 84.305 4.37419 0.515369
1386 1385.04 129 4 315999 38694.3 84.2614 4.21206 0.513318
1387 1386.04 129 4 315948 47118 84.2078 4.07495 0.511771
1388 1387.04 129 4 315885 57453.3 84.1421 3.95962 0.51073
1389 1388.04 129 4 315809 70108.4 84.0611 3.8632 0.510204
1390 1389.04 129 4 315716 85562 83.9615 3.78323 0.510216
1391 1390.04 129 4 315604 104367 83.8386 3.71764 0.510799
1392 1391.04 129 4 315470 127146 83.6873 3.6647 0.512
1393 1392.04 129 4 315311 154585 83.5009 3.62304 0.513882
1394 1393.04 129 4 315124 187405 83.2718 3.59157 0.516521
1395 1394.04 129 4 314908 226324 82.9907 3.56948 0.520007
1396 1395.04 130 4 314664 271664 82.6493 3.56023 0.524408
1397 1396.04 130 4 314387 324520 82.2333 3.55122 0.529887
1398 1397.04 130 4 314088 384833 81.7301 3.55433 0.536519
1399 1398.04 130 4 313771 452411 81.1291 3.56537 0.54439
1400 1399.83 131 4 313205 588900 79.7848 3.60442 0.561736
1401 1400.83 131 4 312918 670777 78.8634 3.63664 0.573207
1402 1401.14 131 5 312864 696999 78.4951 3.968 0.577086
1403 1402.84 132 5 312500 835133 76.7119 3.72159 0.599619
1404 1403.9 133 5 312401 914634 75.4302 3.77581 0.614904
1405 1404.17 133 6 312397 932987 75.087 4.02125 0.618802
1406 1405.17 131 6 312412 995212 73.8601 3.84607 0.633575
1407 1406.07 130 7 312499 1.0403e+06 72.7477 3.92102 0.646772
1408 1407.79 131 8 312834 1.094e+06 70.6926 4.00048 0.671112
1409 1408.79 130 8 313094 1.10453e+06 69.6011 4.05886 0.684211
1410 1409.79 130 8 313379 1.10055e+06 68.5957 4.11533 0.696313
1411 1410.79 129 8 313671 1.08349e+06 67.6877 4.16919 0.707321
1412 1411.71 128 9 313925 1.05789e+06 66.9486 4.20885 0.716425
1413 1412.01 129 9 313984 1.04769e+06 66.7623 4.15066 0.719205
1414 1413.01 127 9 314285 1.00865e+06 66.0123 4.27786 0.727737
1415 1414.19 127 8 314570 954412 65.307 4.32959 0.736468
1416 1415.84 128 7 314899 869454 64.4974 4.37353 0.746508
1417 1416.84 127 6 315080 815454 64.0839 4.43359 0.751535
1418 1417.84 127 6 315229 761170 63.7296 4.46985 0.755863
1419 1418.46 127 7 315296 727663 63.5459 4.37114 0.758242
1420 1419.46 127 7 315429 674927 63.2451 4.52706 0.761613
1421 1420.46 125 6 315529 624026 63.001 4.56214 0.764488
1422 1421.81 127 6 315643 558695 62.7127 4.61059 0.767701
1423 1422.81 127 6 315713 513608 62.5349 4.64764 0.769634
1424 1423.81 126 6 315772 471304 62.3765 4.6864 0.771243
1425 1424.61 127 6 315810 439504 62.2666 4.63474 0.772322
1426 1425.61 127 6 315860 402293 62.1365 4.7621 0.773435
1427 1427 128 6 315913 355393 61.985 4.82712 0.774588
1428 1428 128 6 315945 324626 61.8909 4.8788 0.77517
1429 1429 127 6 315972 296368 61.8061 4.93507 0.775558
1430 1430 127 6 315997 270480 61.7301 4.99656 0.775766
1431 1431 127 6 316018 246816 61.662 5.06394 0.775802
1432 1432 127 6 316036 225224 61.6006 5.13792 0.775676
1433 1433 127 6 316052 205556 61.5452 5.21923 0.775393
1434 1434 127 6 316066 187666 61.495 5.30863 0.774958
1435 1435 127 6 316078 171415 61.4494 5.40691 0.774374
1436 1436 127 6 316089 156669 61.4078 5.51485 0.773642
1437 1437 127 6 316099 143302 61.3698 5.6332 0.772765
1438 1438 127 6 316107 131195 61.3349 5.76268 0.771743
1439 1439 127 6 316115 120238 61.3028 5.9039 0.770578
1440 1440 127 6 316121 110329 61.2731 6.05729 0.76927
1441 1441 127 6 316127 101373 61.2457 6.22305 0.76782
1442 1442 127 6 316133 93281.7 61.2201 6.40102 0.766231
1443 1443 127 6 316137 85975.8 61.1963 6.59059 0.764505
1444 1444 127 6 316141 79381.5 61.1741 6.79051 0.762646
1445 1445 127 6 316145 73431.5 61.1531 6.99876 0.760658
1446 1446 127 6 316148 68064.4 61.1334 7.21243 0.758548
1447 1447 127 6 316151 63224.4 61.1148 7.42754 0.756323
1448 1448 127 6 316154 58860.4 61.0972 7.63902 0.753992
1449 1449 127 6 316156 54926.3 61.0804 7.84076 0.751567
1450 1450 127 6 316158 51380 61.0644 8.02578 0.749059
1451 1451 127 6 316160 48183.4 61.0491 8.18663 0.746481
1452 1452 127 6 316162 45302.1 61.0344 8.31594 0.743849
1453 1453 127 6 316164 42704.9 61.0203 8.4071 0.741179
1454 1454 127 6 316165 40363.4 61.0066 8.45497 0.738485
1455 1455 127 6 316166 38252.2 60.9934 8.45651 0.735785
1456 1456 127 6 316167 36348.2 60.9806 8.41119 0.733095
1457 1457 127 6 316169 34630.6 60.9682 8.32108 0.730431
1458 1458 127 5 316169 33080.4 60.9561 8.19058 0.727809
1459 1459 127 5 316170 31681 60.9443 8.02582 0.725242
1460 1460 127 5 316171 30416.8 60.9327 7.83419 0.722744
1461 1461 127 5 316172 29274.3 60.9214 7.62328 0.720325
1462 1462 127 5 316173 28240.9 60.9103 7.4005 0.717996
1463 1463 127 5 316173 27305.5 60.8995 7.17252 0.715763
1464 1464 127 5 316174 26458.1 60.8887 6.94499 0.713634
1465 1465 127 5 316174 25689.7 60.8782 6.72246 0.711611
1466 1466 127 5 316175 24992.1 60.8678 6.50838 0.709698
1467 1467 127 4 316175 24357.9 60.8575 6.3052 0.707895
1468 1468 127 4 316176 23780.9 60.8474 6.11446 0.706201
1469 1469 127 4 316176 23255.1 60.8373 5.93718 0.704615
1470 1470 127 4 316177 22775.3 60.8274 5.77367 0.703132
1471 1471 127 4 316177 22336.8 60.8176 5.62391 0.701748
1472 1472 127 4 316177 21935.5 60.8078 5.48761 0.700458
1473 1473 127 4 316178 21567.6 60.7982 5.3643 0.699257
1474 1474 127 4 316178 21229.9 60.7886 5.25338 0.698136
1475 1475 127 4 316178 20919.6 60.7791 5.15421 0.697089
1476 1476 127 4 316179 20634 60.7696 5.06616 0.696108
1477 1477 127 4 316179 20371 60.7602 4.98858 0.695186
1478 1478 127 4 316179 20128.7 60.7508 4.92089 0.694313
1479 1479 127 4 316180 19905.4 60.7415 4.86257 0.693482
1480 1480 127 4 316180 19699.8 60.7322 4.81314 0.692683
1481 1481 127 4 316180 19510.7 60.723 4.77222 0.691908
1482 1482 127 4 316180 19337.4 60.7138 4.7395 0.691147
1483 1483 127 4 316180 19179.1 60.7046 4.71476 0.69039
1484 1484 127 4 316180 19035.4 60.6954 4.69784 0.689629
1485 1485 127 4 316180 18906 60.6862 4.6887 0.688852
1486 1486 127 4 316180 18791 60.677 4.68739 0.688049
1487 1487 127 4 316180 18690.5 60.6679 4.69401 0.687209
1488 1488 127 4 316180 18604.9 60.6586 4.70881 0.68632
1489 1489 127 4 316180 18534.9 60.6494 4.73211 0.685372
1490 1490 127 4 316180 18481.4 60.6401 4.76432 0.684351
1491 1491 127 4 316180 18445.4 60.6308 4.80598 0.683246
1492 1492 127 4 316180 18428.2 60.6213 4.85769 0.682041
1493 1493 127 4 316179 18431.6 60.6118 4.92017 0.680726
1494 1494 127 4 316179 18457.4 60.6022 4.99421 0.679285
1495 1495 127 4 316178 18507.8 60.5924 5.08068 0.677705
1496 1496 127 4 316177 18585.4 60.5825 5.18046 0.675973
1497 1497 127 4 316177 18693.3 60.5724 5.29443 0.674076
1498 1498 127 4 316176 18834.6 60.5621 5.4234 0.672001
1499 1499 127 4 316174 19013.3 60.5516 5.56796 0.669739
1500 1500 127 4 316173 19233.6 60.5407 5.72841 0.667278
1501 1501 127 4 316171 19500.4 60.5296 5.90453 0.664614
1502 1502 127 4 316170 19819.2 60.518 6.09535 0.661741
1503 1503 127 4 316168 20196 60.506 6.29887 0.658659
1504 1504 127 4 316165 20637.8 60.4936 6.51176 0.655371
1505 1505 127 4 316163 21152.2 60.4805 6.72907 0.651884
1506 1506 127 4 316159 21747.9 60.4669 6.944 0.648212
1507 1507 127 4 316156 22434.3 60.4525 7.14793 0.644372
1508 1508 127 4 316152 23222.2 60.4373 7.33074 0.640384
1509 1509 127 4 316148 24123.3 60.4211 7.48152 0.636278
1510 1510 127 4 316143 25150.8 60.4039 7.58972 0.632083
1511 1511 127 4 316137 26319.3 60.3856 7.64659 0.627834
1512 1512 127 4 316130 27644.8 60.3659 7.64658 0.623569
1513 1513 127 4 316123 29145 60.3447 7.58834 0.619326
1514 1514 127 4 316115 30839.6 60.3219 7.47503 0.615146
1515 1515 127 4 316106 32749.8 60.2972 7.31379 0.611065
1516 1515.84 128 4 316098 34542.2 60.2744 7.2161 0.607736
1517 1516.84 128 4 316087 36912.6 60.2461 6.92568 0.603935
1518 1517.84 128 4 316074 39570.7 60.2146 6.68593 0.600332
1519 1518.84 128 4 316061 42546.1 60.1804 6.43914 0.596953
1520 1519.84 128 4 316045 45870.6 60.1429 6.19384 0.593823
1521 1520.84 128 4 316028 49578 60.1019 5.95653 0.590959
1522 1521.84 128 4 316010 53704.2 60.0569 5.73182 0.588378
